"replicate","variable","value"
1,"posterior",579.531812456764
2,"posterior",1001
3,"posterior",1001
4,"posterior",1001
5,"posterior",1001
6,"posterior",1001
7,"posterior",1001
8,"posterior",1001
9,"posterior",883.745246243278
10,"posterior",861.144396961181
11,"posterior",895.454371082839
12,"posterior",697.113478225725
13,"posterior",1119.21660880537
14,"posterior",1001
15,"posterior",1001
16,"posterior",819.462493667806
17,"posterior",1001
18,"posterior",568.51176544472
19,"posterior",1001
20,"posterior",1001
21,"posterior",1001
22,"posterior",1001
23,"posterior",868.442816125997
24,"posterior",1001
25,"posterior",789.067057044551
26,"posterior",1001
27,"posterior",1001
28,"posterior",1001
29,"posterior",1001
30,"posterior",1001
31,"posterior",1001
32,"posterior",902.854413690673
33,"posterior",1041.38327347493
34,"posterior",1001
35,"posterior",487.907705467603
36,"posterior",646.192761821546
37,"posterior",449.613329173048
38,"posterior",1001
39,"posterior",1001
40,"posterior",910.473575895467
41,"posterior",775.958985389586
42,"posterior",779.103599587038
43,"posterior",1001
44,"posterior",1001
45,"posterior",1001
46,"posterior",1001
47,"posterior",714.425333650619
48,"posterior",1001
49,"posterior",1001
50,"posterior",689.357033267196
51,"posterior",686.279575956313
52,"posterior",1001
53,"posterior",1001
54,"posterior",908.498973076311
55,"posterior",649.25297433472
56,"posterior",1001
57,"posterior",807.236903103674
58,"posterior",1001
59,"posterior",816.777725036113
60,"posterior",1001
61,"posterior",1001
62,"posterior",1001
63,"posterior",1001
64,"posterior",1001
65,"posterior",711.641161435869
66,"posterior",599.692489296357
67,"posterior",1001
68,"posterior",434.01453072759
69,"posterior",1001
70,"posterior",866.74497772939
71,"posterior",1001
72,"posterior",758.751715751296
73,"posterior",1001
74,"posterior",1001
75,"posterior",1001
76,"posterior",631.864929941542
77,"posterior",1001
78,"posterior",1001
79,"posterior",1001
80,"posterior",1001
81,"posterior",893.58065362651
82,"posterior",893.609579786874
83,"posterior",1001
84,"posterior",1001
85,"posterior",1001
86,"posterior",837.623292487282
87,"posterior",1001
88,"posterior",879.25134366127
89,"posterior",583.248164138239
90,"posterior",1001
91,"posterior",799.594635447763
92,"posterior",870.098723452759
93,"posterior",884.342269801521
94,"posterior",831.853486602535
95,"posterior",1001
96,"posterior",603.962040637952
97,"posterior",882.470025091545
98,"posterior",1001
99,"posterior",1001
100,"posterior",787.863697638537
1,"TTBirthRate.1",716.432466068307
2,"TTBirthRate.1",1001
3,"TTBirthRate.1",937.171104299159
4,"TTBirthRate.1",1001
5,"TTBirthRate.1",1001
6,"TTBirthRate.1",900.536674572595
7,"TTBirthRate.1",1001
8,"TTBirthRate.1",1001
9,"TTBirthRate.1",1001
10,"TTBirthRate.1",759.49608005774
11,"TTBirthRate.1",1001
12,"TTBirthRate.1",1001
13,"TTBirthRate.1",1001
14,"TTBirthRate.1",1001
15,"TTBirthRate.1",1001
16,"TTBirthRate.1",903.130855666549
17,"TTBirthRate.1",589.955435992205
18,"TTBirthRate.1",909.498897451871
19,"TTBirthRate.1",846.073991471875
20,"TTBirthRate.1",686.803853471368
21,"TTBirthRate.1",1001
22,"TTBirthRate.1",1001
23,"TTBirthRate.1",725.71493652038
24,"TTBirthRate.1",1141.3994051432
25,"TTBirthRate.1",1001
26,"TTBirthRate.1",1001
27,"TTBirthRate.1",1772.27516588188
28,"TTBirthRate.1",742.506025477051
29,"TTBirthRate.1",1001
30,"TTBirthRate.1",845.233784464479
31,"TTBirthRate.1",799.084531853425
32,"TTBirthRate.1",848.402619310889
33,"TTBirthRate.1",888.318826489489
34,"TTBirthRate.1",1001
35,"TTBirthRate.1",798.585471804042
36,"TTBirthRate.1",817.891275087335
37,"TTBirthRate.1",776.758005449267
38,"TTBirthRate.1",848.345236085255
39,"TTBirthRate.1",1191.67359849115
40,"TTBirthRate.1",442.013634013522
41,"TTBirthRate.1",759.824825870535
42,"TTBirthRate.1",877.871233640324
43,"TTBirthRate.1",1001
44,"TTBirthRate.1",757.219836101906
45,"TTBirthRate.1",1001
46,"TTBirthRate.1",908.581907928856
47,"TTBirthRate.1",876.132264932464
48,"TTBirthRate.1",1001
49,"TTBirthRate.1",885.437227439048
50,"TTBirthRate.1",573.332725950816
51,"TTBirthRate.1",611.630201164452
52,"TTBirthRate.1",1001
53,"TTBirthRate.1",1001
54,"TTBirthRate.1",899.242153951329
55,"TTBirthRate.1",883.988124961001
56,"TTBirthRate.1",767.066934204565
57,"TTBirthRate.1",731.263326055077
58,"TTBirthRate.1",912.222820107424
59,"TTBirthRate.1",795.085874520575
60,"TTBirthRate.1",1001
61,"TTBirthRate.1",1001
62,"TTBirthRate.1",1001
63,"TTBirthRate.1",1234.74735079768
64,"TTBirthRate.1",1001
65,"TTBirthRate.1",483.522314781013
66,"TTBirthRate.1",1001
67,"TTBirthRate.1",1001
68,"TTBirthRate.1",896.736441404042
69,"TTBirthRate.1",1001
70,"TTBirthRate.1",732.102561880331
71,"TTBirthRate.1",1001
72,"TTBirthRate.1",859.390564884901
73,"TTBirthRate.1",1001
74,"TTBirthRate.1",838.917949522166
75,"TTBirthRate.1",827.190733033373
76,"TTBirthRate.1",669.086308721985
77,"TTBirthRate.1",779.365634062787
78,"TTBirthRate.1",1001
79,"TTBirthRate.1",824.205760243656
80,"TTBirthRate.1",1001
81,"TTBirthRate.1",867.12984862814
82,"TTBirthRate.1",1001
83,"TTBirthRate.1",1001
84,"TTBirthRate.1",877.525832236064
85,"TTBirthRate.1",1001
86,"TTBirthRate.1",1001
87,"TTBirthRate.1",1001
88,"TTBirthRate.1",1001
89,"TTBirthRate.1",693.626950764569
90,"TTBirthRate.1",490.271655707618
91,"TTBirthRate.1",1001
92,"TTBirthRate.1",726.320411864888
93,"TTBirthRate.1",1001
94,"TTBirthRate.1",737.694229218065
95,"TTBirthRate.1",869.980117693871
96,"TTBirthRate.1",819.545536439891
97,"TTBirthRate.1",1001
98,"TTBirthRate.1",883.587025732167
99,"TTBirthRate.1",1001
100,"TTBirthRate.1",880.837144495391
1,"TTBirthRate.2",275.881368204227
2,"TTBirthRate.2",873.807391526783
3,"TTBirthRate.2",780.097303573578
4,"TTBirthRate.2",1001
5,"TTBirthRate.2",1001
6,"TTBirthRate.2",526.450054949065
7,"TTBirthRate.2",896.255522853597
8,"TTBirthRate.2",706.942298956387
9,"TTBirthRate.2",990.408360914877
10,"TTBirthRate.2",404.546524972362
11,"TTBirthRate.2",591.174014099032
12,"TTBirthRate.2",595.105787077511
13,"TTBirthRate.2",594.424037130383
14,"TTBirthRate.2",617.193420794006
15,"TTBirthRate.2",827.002258935979
16,"TTBirthRate.2",394.314850957863
17,"TTBirthRate.2",594.70661443843
18,"TTBirthRate.2",351.670684814287
19,"TTBirthRate.2",766.001994547437
20,"TTBirthRate.2",631.137027258642
21,"TTBirthRate.2",859.81557925891
22,"TTBirthRate.2",1001
23,"TTBirthRate.2",380.887514466744
24,"TTBirthRate.2",770.136611489754
25,"TTBirthRate.2",381.891598701936
26,"TTBirthRate.2",516.099652480461
27,"TTBirthRate.2",563.492308851734
28,"TTBirthRate.2",422.541133735809
29,"TTBirthRate.2",588.734764029545
30,"TTBirthRate.2",731.676146338508
31,"TTBirthRate.2",698.898185666181
32,"TTBirthRate.2",498.225597237218
33,"TTBirthRate.2",556.015755751937
34,"TTBirthRate.2",789.318226056957
35,"TTBirthRate.2",227.167144148075
36,"TTBirthRate.2",400.410610832039
37,"TTBirthRate.2",240.484189602959
38,"TTBirthRate.2",402.921564067687
39,"TTBirthRate.2",847.764685521342
40,"TTBirthRate.2",433.390386790113
41,"TTBirthRate.2",380.145334136129
42,"TTBirthRate.2",469.748099371668
43,"TTBirthRate.2",1001
